Cable Routing Sequence,,,,,,,,
Project:,Luddenham Station,,,,,,,
Project No:,SMWSASSM-PLD-LDN-SN250-EL-M3D-80001,,,,,,,
Date:,9/08/2025,,,,,,,
,,,,,,,,
Separator Legend:,,,,Tray/Conduit ID Legend:,,,,
,, (Comma) = Direct connection between same containment types,,,,Format: [Prefix]-[TypeSuffix]-[Level]-[ElevMM]-[BranchNum],,
,, + (Plus) = Transition between different containment types,,,,Example: LA-FLS-L01-4285-0001,,
,, || (Double Pipe) = Jump between non-connected containment of the same type,,,,Prefix: Service Type (LA=LV Sub-A, LB=LV Sub-B, GA=Gen-A)
,, >> (Double Arrow) = Separates disconnected routing segments,,,,TypeSuffix: FLS=Fire-rated, ESS=Essential, DFT=Default
,,,,,,,,
Cable Reference,From,To,Status,Branch Sequencing,Routing Sequence,,,
CTX1A-01,T1,LDN-SN250/MSB/L00/1100A (Bus MAIN),Pending,N/A,No cable containment assigned in model.,,,
CM11A-01,LDN-SN250/MSB/L00/1100A (Bus MAIN),LDN-SN250/MSB/L00/2100B (MSB 2 ATS CONNECTION),Unconfirmed (Virtual),'0015,LA-FLS-L00-2780-0015 >> LA-FLS-L00-2875-0015,,,
CM11A-11,LDN-SN250/MSB/L00/1100A (Bus LIFE SAFETY BUS),LDN-SN250/PMP/L00/0001 FIRE PUMP,Pending,N/A,No cable containment assigned in model.,,,
CM11A-12,LDN-SN250/MSB/L00/1100A (Bus LIFE SAFETY BUS),LDN-SN250/PMP/L00/0004 TEMPORARY FIRE PUMP,Unconfirmed (Virtual),"'0017, 0186",LA-FLS-L00-2644-0017 + LA-FLS-L00--1865-0186,,,
CM11A-14,LDN-SN250/MSB/L00/1100A (Bus LIFE SAFETY BUS),LDN-SN250/ULIO/L00/1101A (INPUT BUS) RSGx,Unconfirmed (Virtual),N/A,Could not determine virtual route.,,,
CL11A-01,LDN-SN250/ULIO/L00/1101A (INPUT BUS) RSGx,LDN-SN250/ULIO/L00/1101A (EM. LIGHTING UPS),Pending,N/A,No cable containment assigned in model.,,,
CL11A-02,LDN-SN250/ULIO/L00/1101A (EM. LIGHTING UPS),LDN-SN250/ULIO/L00/1101A (OUTPUT BUS) RSGx,Pending,N/A,No cable containment assigned in model.,,,
CL11A-04,LDN-SN250/ULIO/L00/1101A (OUTPUT BUS) RSGx,LDN-SN250/ULDB/L00/1102A RSGx,Pending,N/A,No cable containment assigned in model.,,,
CL11A-07,LDN-SN250/ULIO/L00/1101A (OUTPUT BUS) RSGx,LDN-SN250/ULDB/L02/1106A RSGx,Pending,N/A,No cable containment assigned in model.,,,
CL11A-05,LDN-SN250/ULIO/L00/1101A (OUTPUT BUS) RSGx,LDN-SN250/ULDB/L02/1105A RSGx,Pending,N/A,No cable containment assigned in model.,,,
CL11A-03,LDN-SN250/ULIO/L00/1101A (OUTPUT BUS) RSGx,LDN-SN250/ULDB/L00/1101A RSGx,Unconfirmed (Virtual),"'0012, 0013",LA-FLS-L00-1950-0012 >> LA-FLS-L00-1750-0013,,,
CL11A-06,LDN-SN250/ULIO/L00/1101A (OUTPUT BUS) RSGx,LDN-SN250/ULDB/L00/1107A RSGx,Confirmed,'0014,LA-FLS-L00-1950-0014,,,
CM11A-15,LDN-SN250/MSB/L00/1100A (Bus LIFE SAFETY BUS),LDN-SN250/UPIO/L00/1101A (INPUT BUS) ON HOLD,Unconfirmed (Virtual),"'0017, 0009",LA-FLS-L00-2644-0017 >> LA-FLS-L00-3378-0009,,,
CG11A-01,LDN-SN250/UPIO/L00/1101A (INPUT BUS) ON HOLD,LDN-SN250/UPIO/L00/1101A (GRN UPS),Confirmed,'0009,LA-FLS-L00-3378-0009,,,
CG11A-02,LDN-SN250/UPIO/L00/1101A (GRN UPS),LDN-SN250/UPIO/L00/1101A (OUTPUT BUS),Confirmed,'0009,LA-FLS-L00-3378-0009,,,
CG11A-03,LDN-SN250/UPIO/L00/1101A (OUTPUT BUS),LDN-SN250/UCDB/L00/1111A (10HR) RSGx,Unconfirmed (Virtual),'0010, >> LA-FLS-L00-3208-0010,,,
CM11A-16,LDN-SN250/MSB/L00/1100A (Bus LIFE SAFETY BUS),LDN-SN250/UPIO/L00/1102A (INPUT BUS) ON HOLD,Unconfirmed (Virtual),"'0017, 0008",LA-FLS-L00-2644-0017 >> LA-FLS-L00-3278-0008,,,
CA11A-01,LDN-SN250/UPIO/L00/1102A (INPUT BUS) ON HOLD,LDN-SN250/UPS/L00/1103A (PA/EWIS UPS),Pending,N/A,No cable containment assigned in model.,,,
CA11A-02,LDN-SN250/UPS/L00/1103A (PA/EWIS UPS),LDN-SN250/UPIO/L00/1102A (OUTPUT BUS),Pending,N/A,No cable containment assigned in model.,,,
CA11A-11,LDN-SN250/UPIO/L00/1102A (OUTPUT BUS),LDN-SN250/UCDB/L00/1112A (6HR) RSGx,Unconfirmed (Virtual),"'0008, 0001",LA-FLS-L00-3278-0008 >> LA-FLS-L00-3208-0001,,,
